Source Node,Link,Destination Node,Source Type
coriander,helps,tomato,herbs
dill,helps,brassica,herbs
dill,helps,broccoli,herbs
dill,helps,cabbage,herbs
dill,helps,corn,herbs
dill,helps,eggplant,herbs
dill,helps,eggplant,herbs
dill,helps,fennel,herbs
dill,helps,lettuce,herbs
dill,helps,onion,herbs
dill,helps,cucumber,herbs
fennel,helps,dill,herbs
flax,helps,carrot,herbs
flax,helps,potato,herbs
garlic,helps,vetch,herbs
garlic,helps,brassica,herbs
garlic,helps,beet,herbs
garlic,helps,rose,herbs
garlic,helps,tomato,herbs
garlic,helps,cucumber,herbs
garlic,helps,lettuce,herbs
garlic,helps,celery,herbs
garlic,helps,pea,herbs
garlic,helps,potato,herbs
hyssop,helps,brassica,herbs
hyssop,helps,cabbage,herbs
hyssop,helps,grape,herbs
lavender,helps,chamomile,herbs
lavender,helps,lettuce,herbs
lavender,helps,brassica,herbs
lavender,helps,onion,herbs
lavender,helps,tomato,herbs
lavender,helps,oregano,herbs
lavender,helps,thyme,herbs
lavender,helps,marjoram,herbs
lavender,helps,sage,herbs
lavender,helps,rosemary,herbs
lavender,helps,basil,herbs
lavender,helps,lemon balm,herbs
lavender,helps,squash,herbs
lemongrass,helps,eggplant,herbs
lovage,helps,beans,herbs
oregano,helps,grape,herbs
oregano,helps,tomato,herbs
oregano,helps,pepper,herbs
oregano,helps,pumpkins,herbs
parsley,helps,asparagus,herbs
parsley,helps,corn,herbs
parsley,helps,corn,herbs
parsley,helps,tomato,herbs
peppermint,helps,allium,herbs
peppermint,helps,brassica,herbs
peppermint,helps,cabbage,herbs
peppermint,helps,pea,herbs
peppermint,helps,tomato,herbs
rosemary,helps,cabbage,herbs
rosemary,helps,beans,herbs
rosemary,helps,brassica,herbs
rosemary,helps,carrot,herbs
rosemary,helps,thyme,herbs
sage,helps,brassica,herbs
sage,helps,rosemary,herbs
sage,helps,cabbage,herbs
sage,helps,beans,herbs
sage,helps,brussels sprout,herbs
sage,helps,carrot,herbs
sage,helps,strawberries,herbs
sage,helps,tomato,herbs
sage,helps,marjoram,herbs
southernwood,helps,brassica,herbs
southernwood,helps,fruit tree,herbs
spearmint,helps,allium,herbs
spearmint,helps,brassica,herbs
spearmint,helps,cabbage,herbs
spearmint,helps,pea,herbs
spearmint,helps,tomato,herbs
stinging nettle,helps,chamomile,herbs
stinging nettle,helps,mint,herbs
stinging nettle,helps,broccoli,herbs
stinging nettle,helps,tomato,herbs
stinging nettle,helps,valerian,herbs
stinging nettle,helps,angelica,herbs
stinging nettle,helps,marjoram,herbs
stinging nettle,helps,sage,herbs
stinging nettle,helps,peppermint,herbs
summer savory,helps,beans,herbs
summer savory,helps,melon,herbs
summer savory,helps,onion,herbs
tarragon,helps,allium,herbs
tarragon,helps,asparagus,herbs
tarragon,helps,beans,herbs
tarragon,helps,bush,herbs
tarragon,helps,pole,herbs
tarragon,helps,fava,herbs
tarragon,helps,beet,herbs
tarragon,helps,brassica,herbs
tarragon,helps,broccoli,herbs
tarragon,helps,brussels sprout,herbs
tarragon,helps,cabbage,herbs
tarragon,helps,carrot,herbs
tarragon,helps,cauliflower,herbs
tarragon,helps,celery,herbs
tarragon,helps,chard,herbs
tarragon,helps,corn,herbs
tarragon,helps,corn,herbs
tarragon,helps,cucumber,herbs
tarragon,helps,cucurbit,herbs
tarragon,helps,eggplant,herbs
tarragon,helps,eggplant,herbs
tarragon,helps,kohlrabi,herbs
tarragon,helps,leek,herbs
tarragon,helps,lettuce,herbs
tarragon,helps,mustard,herbs
tarragon,helps,nightshade,herbs
tarragon,helps,okra,herbs
tarragon,helps,onion,herbs
tarragon,helps,parsnip,herbs
tarragon,helps,pea,herbs
tarragon,helps,pepper,herbs
tarragon,helps,potato,herbs
tarragon,helps,pumpkins,herbs
tarragon,helps,radish,herbs
tarragon,helps,soybeans,herbs
tarragon,helps,spinach,herbs
tarragon,helps,squash,herbs
tarragon,helps,sweet potato,herbs
tarragon,helps,tomato,herbs
tarragon,helps,turnip,herbs
tarragon,helps,rutabaga,herbs
thyme,helps,brassica,herbs
thyme,helps,cabbage,herbs
thyme,helps,eggplant,herbs
thyme,helps,eggplant,herbs
thyme,helps,potato,herbs
thyme,helps,strawberries,herbs
thyme,helps,tomato,herbs
thyme,helps,brussels sprout,herbs
wormwood,helps,brassica,herbs
wormwood,helps,carrot,herbs
alyssum,helps,grape,flowers
alyssum,helps,lettuce,flowers
bee balm,helps,tomato,flowers
dianthus,helps,rose,flowers
dianthus,helps,lavender,flowers
dianthus,helps,echinacea,flowers
dianthus,helps,aster,flowers
dianthus,helps,foxglove,flowers
geranium,helps,rose,flowers
geranium,helps,corn,flowers
geranium,helps,pepper,flowers
geranium,helps,grape,flowers
larkspur,helps,beans,flowers
larkspur,helps,cabbage,flowers
lupin,helps,cucurbit,flowers
lupin,helps,brassica,flowers
lupin,helps,lettuce,flowers
lupin,helps,rosemary,flowers
lupin,helps,dill,flowers
lupin,helps,strawberries,flowers
lupin,helps,rose,flowers
marigold,helps,tomato,flowers
marigold,helps,pepper,flowers
marigold,helps,cucurbit,flowers
marigold,helps,cucumber,flowers
marigold,helps,gourds,flowers
marigold,helps,squash,flowers
marigold,helps,potato,flowers
marigold,helps,rose,flowers
marigold,helps,allium,flowers
marigold,helps,brassica,flowers
marigold,helps,zucchini,flowers
nasturtium,helps,beans,flowers
nasturtium,helps,squash,flowers
nasturtium,helps,tomato,flowers
nasturtium,helps,fruit tree,flowers
nasturtium,helps,brassica,flowers
nasturtium,helps,radish,flowers
nasturtium,helps,cucumber,flowers
pansy,helps,allium,flowers
pansy,helps,onion,flowers
pansy,helps,rose,flowers
petunia,helps,cucurbit,flowers
petunia,helps,squash,flowers
petunia,helps,pumpkins,flowers
petunia,helps,cucumber,flowers
petunia,helps,asparagus,flowers
phacelia,helps,lettuce,flowers
phacelia,helps,tomato,flowers
phacelia,helps,rose,flowers
sunflower,helps,pepper,flowers
sunflower,helps,corn,flowers
sunflower,helps,cucumber,flowers
sunflower,helps,soybeans,flowers
sunflower,helps,tomato,flowers
sunflower,helps,swan plant,flowers
swan plant,helps,sunflower,flowers
sweet pea,helps,alyssum,flowers
sweet pea,helps,lobelia,flowers
sweet pea,helps,rose,flowers
sweet pea,helps,lavender,flowers
sweet pea,helps,catmint,flowers
tansy,helps,beans,flowers
tansy,helps,brassica,flowers
tansy,helps,cucurbit,flowers
tansy,helps,cucumber,flowers
tansy,helps,squash,flowers
tansy,helps,raspberries,flowers
tansy,helps,rose,flowers
tansy,helps,corn,flowers
tansy,helps,fruit tree,flowers
zinnia,helps,beans,flowers
zinnia,helps,tomato,flowers
zinnia,helps,pepper,flowers
allium,helped_by,carrot,vegetables
allium,helped_by,tomato,vegetables
allium,helped_by,marigold,vegetables
allium,helped_by,mint,vegetables
asparagus,helped_by,dill,vegetables
asparagus,helped_by,tomato,vegetables
asparagus,helped_by,parsley,vegetables
asparagus,helped_by,basil,vegetables
asparagus,helped_by,comfrey,vegetables
asparagus,helped_by,marigold,vegetables
asparagus,helped_by,nasturtium,vegetables
"beans, bush",helped_by,celery,vegetables
"beans, bush",helped_by,strawberries,vegetables
"beans, bush",helped_by,grain,vegetables
"beans, pole",helped_by,radish,vegetables
"beans, pole",helped_by,corn,vegetables
"beans, fava",helped_by,strawberries,vegetables
"beans, fava",helped_by,celery,vegetables
beet,helped_by,onion,vegetables
beet,helped_by,kohlrabi,vegetables
beet,helped_by,catnip,vegetables
beet,helped_by,garlic,vegetables
beet,helped_by,lettuce,vegetables
beet,helped_by,brassica,vegetables
beet,helped_by,mint,vegetables
brassica,helped_by,beet,vegetables
brassica,helped_by,spinach,vegetables
brassica,helped_by,chard,vegetables
brassica,helped_by,celery,vegetables
brassica,helped_by,chamomile,vegetables
brassica,helped_by,marigold,vegetables
brassica,helped_by,dill,vegetables
brassica,helped_by,sage,vegetables
brassica,helped_by,pea,vegetables
brassica,helped_by,peppermint,vegetables
brassica,helped_by,spearmint,vegetables
brassica,helped_by,spurrey,vegetables
brassica,helped_by,rosemary,vegetables
brassica,helped_by,ryegrass,vegetables
brassica,helped_by,garlic,vegetables
brassica,helped_by,onion,vegetables
brassica,helped_by,potato,vegetables
brassica,helped_by,geranium,vegetables
brassica,helped_by,allium,vegetables
brassica,helped_by,nasturtium,vegetables
brassica,helped_by,borage,vegetables
brassica,helped_by,hyssop,vegetables
brassica,helped_by,tansy,vegetables
brassica,helped_by,tomato,vegetables
brassica,helped_by,thyme,vegetables
brassica,helped_by,wormwood,vegetables
brassica,helped_by,southernwood,vegetables
brassica,helped_by,beans,vegetables
brassica,helped_by,clover,vegetables
broccoli,helped_by,mustard,vegetables
broccoli,helped_by,rabe,vegetables
broccoli,helped_by,beet,vegetables
broccoli,helped_by,dill,vegetables
broccoli,helped_by,lettuce,vegetables
broccoli,helped_by,onion,vegetables
broccoli,helped_by,tomato,vegetables
broccoli,helped_by,turnip,vegetables
broccoli,helped_by,clover,vegetables
brussels sprout,helped_by,sage,vegetables
brussels sprout,helped_by,thyme,vegetables
brussels sprout,helped_by,clover,vegetables
cabbage,helped_by,beans,vegetables
cabbage,helped_by,clover,vegetables
cabbage,helped_by,calendula,vegetables
cabbage,helped_by,chamomile,vegetables
cabbage,helped_by,larkspur,vegetables
cabbage,helped_by,nasturtium,vegetables
cabbage,helped_by,dill,vegetables
cabbage,helped_by,hyssop,vegetables
cabbage,helped_by,onion,vegetables
cabbage,helped_by,beet,vegetables
cabbage,helped_by,marigold,vegetables
cabbage,helped_by,mint,vegetables
cabbage,helped_by,rosemary,vegetables
cabbage,helped_by,sage,vegetables
cabbage,helped_by,thyme,vegetables
cabbage,helped_by,tomato,vegetables
carrot,helped_by,lettuce,vegetables
carrot,helped_by,allium,vegetables
carrot,helped_by,chives,vegetables
carrot,helped_by,leek,vegetables
carrot,helped_by,onion,vegetables
carrot,helped_by,shallot,vegetables
carrot,helped_by,rosemary,vegetables
carrot,helped_by,wormwood,vegetables
carrot,helped_by,sage,vegetables
carrot,helped_by,beans,vegetables
carrot,helped_by,flax,vegetables
cauliflower,helped_by,marigold,vegetables
cauliflower,helped_by,rapeseed,vegetables
cauliflower,helped_by,sunflower,vegetables
cauliflower,helped_by,spinach,vegetables
cauliflower,helped_by,pea,vegetables
celery,helped_by,cosmos,vegetables
celery,helped_by,daisy,vegetables
celery,helped_by,snapdragons,vegetables
celery,helped_by,leek,vegetables
celery,helped_by,tomato,vegetables
celery,helped_by,cauliflower,vegetables
celery,helped_by,cabbage,vegetables
corn,helped_by,sunflower,vegetables
corn,helped_by,dill,vegetables
corn,helped_by,legume,vegetables
corn,helped_by,beans,vegetables
corn,helped_by,pea,vegetables
corn,helped_by,peanuts,vegetables
corn,helped_by,cucurbit,vegetables
corn,helped_by,clover,vegetables
corn,helped_by,amaranth,vegetables
corn,helped_by,pigweed,vegetables
corn,helped_by,parsley,vegetables
corn,helped_by,potato,vegetables
corn,helped_by,sunflower,vegetables
corn,helped_by,dill,vegetables
corn,helped_by,legume,vegetables
corn,helped_by,beans,vegetables
corn,helped_by,pea,vegetables
corn,helped_by,peanuts,vegetables
corn,helped_by,cucurbit,vegetables
corn,helped_by,clover,vegetables
corn,helped_by,amaranth,vegetables
corn,helped_by,pigweed,vegetables
corn,helped_by,parsley,vegetables
corn,helped_by,potato,vegetables
cucumber,helped_by,kohlrabi,vegetables
cucumber,helped_by,nasturtium,vegetables
cucumber,helped_by,radish,vegetables
cucumber,helped_by,marigold,vegetables
cucumber,helped_by,sunflower,vegetables
cucumber,helped_by,pea,vegetables
cucumber,helped_by,beans,vegetables
cucumber,helped_by,chamomile,vegetables
cucumber,helped_by,beet,vegetables
cucumber,helped_by,carrot,vegetables
cucumber,helped_by,dill,vegetables
cucumber,helped_by,onion,vegetables
cucumber,helped_by,garlic,vegetables
cucumber,helped_by,amaranth,vegetables
cucumber,helped_by,celery,vegetables
cucurbit,helped_by,corn,vegetables
eggplant,helped_by,marigold,vegetables
eggplant,helped_by,catnip,vegetables
eggplant,helped_by,dill,vegetables
eggplant,helped_by,tarragon,vegetables
eggplant,helped_by,mint,vegetables
eggplant,helped_by,thyme,vegetables
eggplant,helped_by,marigold,vegetables
eggplant,helped_by,catnip,vegetables
eggplant,helped_by,dill,vegetables
eggplant,helped_by,tarragon,vegetables
eggplant,helped_by,mint,vegetables
eggplant,helped_by,thyme,vegetables
kohlrabi,helped_by,beet,vegetables
kohlrabi,helped_by,cucumber,vegetables
leek,helped_by,carrot,vegetables
leek,helped_by,clover,vegetables
legume,helped_by,beet,vegetables
legume,helped_by,cucumber,vegetables
legume,helped_by,borage,vegetables
legume,helped_by,cabbage,vegetables
legume,helped_by,carrot,vegetables
legume,helped_by,cauliflower,vegetables
legume,helped_by,corn,vegetables
legume,helped_by,larkspur,vegetables
legume,helped_by,lovage,vegetables
legume,helped_by,marigold,vegetables
legume,helped_by,mustard,vegetables
legume,helped_by,radish,vegetables
legume,helped_by,potato,vegetables
legume,helped_by,peppermint,vegetables
legume,helped_by,rosemary,vegetables
legume,helped_by,lettuce,vegetables
legume,helped_by,onion,vegetables
legume,helped_by,squash,vegetables
lettuce,helped_by,radish,vegetables
lettuce,helped_by,beet,vegetables
lettuce,helped_by,dill,vegetables
lettuce,helped_by,kohlrabi,vegetables
lettuce,helped_by,onion,vegetables
lettuce,helped_by,beans,vegetables
lettuce,helped_by,carrot,vegetables
lettuce,helped_by,cucumber,vegetables
lettuce,helped_by,strawberries,vegetables
lettuce,helped_by,broccoli,vegetables
lettuce,helped_by,thyme,vegetables
lettuce,helped_by,nasturtium,vegetables
lettuce,helped_by,alyssum,vegetables
lettuce,helped_by,cilantro,vegetables
nightshade,helped_by,carrot,vegetables
nightshade,helped_by,allium,vegetables
nightshade,helped_by,mint,vegetables
nightshade,helped_by,basil,vegetables
nightshade,helped_by,oregano,vegetables
okra,helped_by,beans,vegetables
okra,helped_by,lettuce,vegetables
okra,helped_by,squash,vegetables
okra,helped_by,pepper,vegetables
onion,helped_by,carrot,vegetables
onion,helped_by,beet,vegetables
onion,helped_by,brassica,vegetables
onion,helped_by,dill,vegetables
onion,helped_by,lettuce,vegetables
onion,helped_by,strawberries,vegetables
onion,helped_by,marigold,vegetables
onion,helped_by,mint,vegetables
onion,helped_by,tomato,vegetables
onion,helped_by,chamomile,vegetables
onion,helped_by,pansy,vegetables
pea,helped_by,turnip,vegetables
pea,helped_by,cauliflower,vegetables
pea,helped_by,garlic,vegetables
pea,helped_by,mint,vegetables
pepper,helped_by,beans,vegetables
pepper,helped_by,tomato,vegetables
pepper,helped_by,marjoram,vegetables
pepper,helped_by,okra,vegetables
pepper,helped_by,geranium,vegetables
pepper,helped_by,petunia,vegetables
pepper,helped_by,sunflower,vegetables
pepper,helped_by,onion,vegetables
pepper,helped_by,basil,vegetables
potato,helped_by,horseradish,vegetables
potato,helped_by,beans,vegetables
potato,helped_by,marigold,vegetables
potato,helped_by,pea,vegetables
potato,helped_by,onion,vegetables
potato,helped_by,garlic,vegetables
potato,helped_by,thyme,vegetables
potato,helped_by,clover,vegetables
pumpkin,helped_by,buckwheat,vegetables
pumpkin,helped_by,catnip,vegetables
pumpkin,helped_by,oregano,vegetables
pumpkin,helped_by,tansy,vegetables
pumpkin,helped_by,radish,vegetables
pumpkin,helped_by,nasturtium,vegetables
radish,helped_by,chervil,vegetables
radish,helped_by,lettuce,vegetables
radish,helped_by,nasturtium,vegetables
soybean,helped_by,corn,vegetables
soybean,helped_by,sunflower,vegetables
spinach,helped_by,strawberries,vegetables
spinach,helped_by,pea,vegetables
spinach,helped_by,beans,vegetables
spinach,helped_by,cauliflower,vegetables
squash,helped_by,beans,vegetables
squash,helped_by,buckwheat,vegetables
squash,helped_by,borage,vegetables
squash,helped_by,catnip,vegetables
squash,helped_by,tansy,vegetables
squash,helped_by,radish,vegetables
squash,helped_by,marigold,vegetables
squash,helped_by,nasturtium,vegetables
sweet potato,helped_by,okra,vegetables
tomato,helped_by,asparagus,vegetables
tomato,helped_by,basil,vegetables
tomato,helped_by,beans,vegetables
tomato,helped_by,oregano,vegetables
tomato,helped_by,parsley,vegetables
tomato,helped_by,marigold,vegetables
tomato,helped_by,allium,vegetables
tomato,helped_by,garlic,vegetables
tomato,helped_by,leek,vegetables
tomato,helped_by,celery,vegetables
tomato,helped_by,geranium,vegetables
tomato,helped_by,petunia,vegetables
tomato,helped_by,nasturtium,vegetables
tomato,helped_by,borage,vegetables
tomato,helped_by,chives,vegetables
tomato,helped_by,corn,vegetables
tomato,helped_by,dill,vegetables
tomato,helped_by,mustard,vegetables
tomato,helped_by,fenugreek,vegetables
tomato,helped_by,barley,vegetables
tomato,helped_by,carrot,vegetables
tomato,helped_by,eggplant,vegetables
tomato,helped_by,mint,vegetables
tomato,helped_by,okra,vegetables
tomato,helped_by,sage,vegetables
tomato,helped_by,thyme,vegetables
tomato,helped_by,cucumber,vegetables
tomato,helped_by,squash,vegetables
turnip,helped_by,pea,vegetables
rutabaga,helped_by,pea,vegetables
apple,helped_by,clover,fruits
apple,helped_by,chives,fruits
apple,helped_by,garlic,fruits
apple,helped_by,leek,fruits
apple,helped_by,nasturtium,fruits
apple,helped_by,southernwood,fruits
apple,helped_by,daffodils,fruits
apple,helped_by,comfrey,fruits
blueberries,helped_by,strawberries,fruits
blueberries,helped_by,clover,fruits
blueberries,helped_by,dewberries,fruits
blueberries,helped_by,yarrow,fruits
fruit tree,helped_by,allium,fruits
fruit tree,helped_by,tansy,fruits
fruit tree,helped_by,nasturtium,fruits
fruit tree,helped_by,marigold,fruits
fruit tree,helped_by,marjoram,fruits
fruit tree,helped_by,mustard,fruits
fruit tree,helped_by,dandelion,fruits
fruit tree,helped_by,borage,fruits
grape,helped_by,alyssum,fruits
grape,helped_by,basil,fruits
grape,helped_by,beans,fruits
grape,helped_by,chives,fruits
grape,helped_by,geranium,fruits
grape,helped_by,mustard,fruits
grape,helped_by,oregano,fruits
grape,helped_by,clover,fruits
grape,helped_by,pea,fruits
grape,helped_by,blackberries,fruits
melon,helped_by,chamomile,fruits
melon,helped_by,pigweed,fruits
passion fruit,helped_by,potato,fruits
passion fruit,helped_by,beet,fruits
passion fruit,helped_by,carrot,fruits
passion fruit,helped_by,spinach,fruits
passion fruit,helped_by,strawberries,fruits
passion fruit,helped_by,onion,fruits
passion fruit,helped_by,leek,fruits
passion fruit,helped_by,lettuce,fruits
strawberries,helped_by,caraway,fruits
strawberries,helped_by,lupin,fruits
strawberries,helped_by,onion,fruits
strawberries,helped_by,sage,fruits
strawberries,helped_by,thyme,fruits
strawberries,helped_by,borage,fruits
basil,helped_by,chamomile,herbs
basil,helped_by,anise,herbs
chives,helped_by,carrot,herbs
cilantro,helped_by,beans,herbs
cilantro,helped_by,pea,herbs
coriander,helped_by,beans,herbs
coriander,helped_by,pea,herbs
dill,helped_by,fennel,herbs
fennel,helped_by,dill,herbs
garlic,helped_by,tarragon,herbs
garlic,helped_by,pea,herbs
oregano,helped_by,basil,herbs
parsley,helped_by,apple,herbs
parsley,helped_by,asparagus,herbs
parsley,helped_by,rose,herbs
lupin,helped_by,rose,flowers
marigold,helped_by,rose,flowers
pansy,helped_by,rose,flowers
rose,helped_by,chives,flowers
rose,helped_by,garlic,flowers
rose,helped_by,marigold,flowers
swan plant,helped_by,sunflower,flowers
swan plant,helped_by,basil,flowers
sweet pea,helped_by,brassica,flowers
sweet pea,helped_by,spinach,flowers
sweet pea,helped_by,silverbeet,flowers
sweet pea,helped_by,salads,flowers
beet,helped_by,"beans, bush",vegetables
broccoli,helped_by,pac choi,vegetables
brussels sprout,helped_by,malting barley,vegetables
cabbage,helped_by,marigold,vegetables
cabbage,helped_by,phacelia,vegetables
cabbage,helped_by,green onions,vegetables
cabbage,helped_by,chinese cabbage,vegetables
cauliflower,helped_by,chinese cabbage,vegetables
celery,helped_by,"beans, bush",vegetables
corn,helped_by,white geranium,vegetables
corn,helped_by,lamb's quarters,vegetables
corn,helped_by,morning glory,vegetables
corn,helped_by,field mustard,vegetables
corn,helped_by,sudan grass,vegetables
corn,helped_by,white geranium,vegetables
corn,helped_by,lamb's quarters,vegetables
corn,helped_by,morning glory,vegetables
corn,helped_by,field mustard,vegetables
corn,helped_by,sudan grass,vegetables
cucumber,helped_by,amaranth,vegetables
cucumber,helped_by,spinach,vegetables
cucurbit,helped_by,sorghum,vegetables
eggplant,helped_by,pigweed,vegetables
